cohort,outcome,subgroup,arm,n,events,auroc,lo,hi
MESA,af5,female,RiskScore,3955,208,0.7650761634948985,0.7375962949847057,0.7940758696700951
MESA,af5,female,CL(ECG),3955,208,0.6993659029787933,0.6596149355381741,0.7383627735521751
MESA,af5,female,CL(ECG)+RS,3955,208,0.7706139270390672,0.7396463966044631,0.8034426258955882
MESA,af5,male,RiskScore,3457,228,0.773544848494727,0.7455158975947146,0.8016677940593199
MESA,af5,male,CL(ECG),3457,228,0.7171561995729491,0.6805471793450799,0.7549943154960799
MESA,af5,male,CL(ECG)+RS,3457,228,0.7879225005840709,0.7604509638528032,0.815008482610987
MESA,hf5,ALL,RiskScore,8208,169,0.7885934766239435,0.7565254738180954,0.8218471379539538
MESA,hf5,ALL,CL(ECG),8208,169,0.7516088359189779,0.709237272291661,0.7891638101533132
MESA,hf5,ALL,CL(ECG)+RS,8208,169,0.8258725400065214,0.7970045988822243,0.8517784417826998
MESA,hf5,age<65,RiskScore,4066,30,0.7465642550379914,0.6617271638586059,0.8225970432771721
MESA,hf5,age<65,CL(ECG),4066,30,0.7901883052527254,0.6894778245787909,0.8763111166171127
MESA,hf5,age<65,CL(ECG)+RS,4066,30,0.8399983481995374,0.7729135695407995,0.899089032044929
MESA,hf5,age>=65,RiskScore,4142,139,0.732544117092037,0.6916027457823898,0.7708720707670685
MESA,hf5,age>=65,CL(ECG),4142,139,0.7061430545795689,0.6609940026994143,0.7524630807469938
MESA,hf5,age>=65,CL(ECG)+RS,4142,139,0.7671153109987653,0.7251888421813136,0.8061145238193657
MESA,hf5,female,RiskScore,4365,66,0.811503027483488,0.7607339973355326,0.8537470835359879
MESA,hf5,female,CL(ECG),4365,66,0.7977577590278219,0.7408661810005146,0.8486482057138024
MESA,hf5,female,CL(ECG)+RS,4365,66,0.8656875806212861,0.8298610670557635,0.8979839391824737
MESA,hf5,male,RiskScore,3843,103,0.7660479725870931,0.7218224650848866,0.8085134468615337
MESA,hf5,male,CL(ECG),3843,103,0.7231971341051866,0.6658401692539329,0.7805347593582888
MESA,hf5,male,CL(ECG)+RS,3843,103,0.7950158351072114,0.7539268469965215,0.8321949794922382
